speaker	vowel	file	moment	birthyear	sex	timepoint	word	prevcons	folcons	style	duration	timeA	F1A	F2A	F3A	timeB	F1B	F2B	F3B	timeC	F1C	F2C	F3C
006	i:	006-F-BHC2	BHC2	1962	male	217.9717212	wiid	v	t	read	155.695202	38.9238005	345.1791181	2278.070403	2733.806562	77.847601	312.7531232	2396.583493	2719.368033	116.7714015	381.6659683	2537.440753	2722.910043
006	i:	006-F-BHC2	BHC2	1962	male	108.5496862	wiif	v	f	read	242.125445	60.53136125	344.2570047	2400.682445	2972.825558	121.0627225	375.1467919	2436.310468	3155.215147	181.5940838	345.6008367	2409.975813	3180.333337
006	i:	006-F-BHC2	BHC2	1962	male	110.6284913	siik	s	k	read	257.053663	64.26341575	392.6414375	2364.280247	2807.881648	128.5268315	374.1160933	2401.804634	2952.602345	192.7902473	366.8516915	2424.908794	3091.862477
006	i:	006-F-BHC2	BHC2	1962	male	576.8124997	tiidskriften	t	t	spon	143.775413	35.94385325	392.5151439	2099.330975	2573.839043	71.8877065	400.5645458	2252.563367	2399.520004	107.8315598	404.3813006	2124.855171	2584.329905
006	i:	006-F-BHC2	BHC2	1962	male	917.7294987	tiid	t	t	spon	157.017885	39.25447125	363.741629	2324.714446	2800.802802	78.5089425	346.7295333	2317.859047	2759.981834	117.7634138	366.3251374	2019.407881	2650.030817
006	i:	006-F-BHC2	BHC2	1962	male	1123.305426	fiif	f	v	spon	134.490697	33.62267425	390.8313329	2194.493617	2758.744991	67.2453485	376.6500456	2233.917501	2800.659624	100.8680228	364.6403053	2178.988488	2628.364247
020	i:	020-F-BHC2	BHC2	1952	male	108.371366	wiif	v	f	read	268.517587	67.12939675	362.4560765	2133.844523	2597.136049	134.2587935	358.9003129	2194.659117	2662.316068	201.3881903	338.0271618	2274.096064	2761.17248
020	i:	020-F-BHC2	BHC2	1952	male	237.8970658	wiid	v	t	read	182.642781	45.66069525	299.4150726	2133.813535	2328.953066	91.3213905	289.1378975	2187.095613	2366.648736	136.9820858	313.2469387	2235.144626	2466.862401
020	i:	020-F-BHC2	BHC2	1952	male	866.046349	fiif	f	v	spon	223.940697	55.98517425	377.5294981	2111.547143	2602.782555	111.9703485	362.8211554	2178.980949	2775.301829	167.9555228	338.767507	2187.156689	2414.027951
020	i:	020-F-BHC2	BHC2	1952	male	1011.119836	tiid	t	t	spon	139.492378	34.8730945	350.6855598	2080.650374	2414.311868	69.746189	294.5934094	2087.326186	2436.713201	104.6192835	309.8435693	1992.639163	2426.968656
020	i:	020-F-BHC2	BHC2	1952	male	1294.796952	tiisdei	t	z	spon	178.912977	44.72824425	323.9740141	2121.294737	2638.66676	89.4564885	298.7543272	2176.781837	2474.461134	134.1847328	294.6492763	2269.304586	2439.570592
020	i:	020-F-BHC2	BHC2	1952	male	1309.354219	fiif	f	f	spon	195.168862	48.7922155	322.6075316	2066.768022	2333.911519	97.584431	300.824666	2213.628475	2410.889096	146.3766465	268.2863985	2177.59874	2486.576468
020	i:	020-F-BHC2	BHC2	1952	male	1315.010755	fiif	f	f	spon	233.267234	58.3168085	320.0922175	2054.275424	2433.988681	116.633617	369.8772092	2152.613877	2579.336442	174.9504255	329.9152623	2218.489539	2690.237316
020	i:	020-F-BHC2	BHC2	1952	male	1436.719337	fiif	f	f	spon	177.656851	44.41421275	384.3671605	2076.104827	2415.735981	88.8284255	321.072516	2182.569594	2712.350671	133.2426383	333.9011171	2187.279823	2593.42705
020	i:	020-F-BHC2	BHC2	1952	male	1440.297597	fiif	f	v	spon	286.955307	71.73882675	322.7516766	2119.673372	2425.254511	143.4776535	272.7775485	2156.909171	2584.547857	215.2164803	278.1182858	2233.869545	2549.569131
020	i:	020-F-BHC2	BHC2	1952	male	1442.096556	fiif	f	v	spon	253.096023	63.27400575	305.4658612	2100.392479	2550.201498	126.5480115	292.3786246	2189.377345	2677.44096	189.8220173	291.8359869	2184.309924	2541.176913
